Province,var1,var2,var3,var4
Anhui,0,152,378,359
Beijing,10,81,137,114
Chongqing,5,142,219,139
Fujian,0,82,112,78
Gansu,0,24,33,29
Guangdong,17,224,629,349
Guangxi,0,58,92,72
Guizhou,0,9,55,67
Hainan,0,43,48,60
Hebei,0,48,87,116
Heilongjiang,0,37,153,188
Henan,0,206,558,371
Hunan,1,220,440,285
Inner Mongolia,0,16,26,16
Jiangsu,0,99,242,202
Jiangxi,2,107,439,296
Jilin,0,9,45,29
Liaoning,0,36,45,35
Ningxia,0,12,22,19
Qinghai,0,6,11,1
Shaanxi,0,56,109,54
Shandong,1,120,177,199
Shanghai,9,71,153,73
Shanxi,0,27,54,43
Sichuan,2,106,193,135
Tianjin,2,23,42,39
Tibet,0,0,1,0
Xinjiang,0,13,19,27
Yunnan,1,43,78,32
Zhejiang,5,291,599,236
Taiwan,1,3,12,12
Macau,0,7,15,4
Hong Kong,0,14,11,8
